{'name': 'Asdffd', 'age': 37.601235, 'life_stage': 'Elder', 'death_time': '2024-08-21 13:26:32'}
{'name': 'Asdf', 'age': 38.123986, 'life_stage': 'Elder', 'death_time': '2024-08-21 13:29:25'}
{'name': 'Testst', 'age': 38.145585, 'life_stage': 'Elder', 'death_time': '2024-08-21 13:33:49'}
{'name': 'Fdfdfdf', 'age': 38.123839, 'life_stage': 'Elder', 'death_time': '2024-08-21 13:45:56'}
{'name': 'Ytes', 'age': 38.13397, 'life_stage': 'Elder', 'death_time': '2024-08-21 13:49:51'}
{'name': 'Test', 'age': 38.126665, 'life_stage': 'Elder', 'death_time': '2024-08-21 13:57:51'}
{'name': 'Slipping Away Sanity', 'age': 38.142765, 'life_stage': 'Elder', 'death_time': '2024-08-21 14:04:56'}
{'name': 'Tests', 'age': 38.131981, 'life_stage': 'Elder', 'death_time': '2024-08-21 14:12:53'}
{'name': 'Phaser', 'age': 38.140984, 'life_stage': 'Elder', 'death_time': '2024-08-21 14:15:56'}
{'name': 'Yessss', 'age': 38.140646, 'life_stage': 'Elder', 'death_time': '2024-08-21 14:28:40'}
{'name': 'Blazer', 'age': 38.132823, 'life_stage': 'Elder', 'death_time': '2024-08-21 14:53:27'}
{'name': 'Fast', 'age': 38.128195, 'life_stage': 'Elder', 'death_time': '2024-08-21 15:18:35'}
{'name': 'Tastss', 'age': 38.13915, 'life_stage': 'Elder', 'death_time': '2024-08-21 15:19:59'}
{'name': 'Aaahhhhhh', 'age': 38.130296, 'life_stage': 'Elder', 'death_time': '2024-08-21 15:22:26'}
{'name': 'Sighj', 'age': 38.133446, 'life_stage': 'Elder', 'death_time': '2024-08-21 15:27:15'}
{'name': 'Trytrkyu', 'age': 38.128279, 'life_stage': 'Elder', 'death_time': '2024-08-21 15:29:30'}
{'name': 'Fuckit]', 'age': 38.12384, 'life_stage': 'Elder', 'death_time': '2024-08-21 15:32:10'}
{'name': 'Emma', 'age': 38.12405, 'life_stage': 'Elder', 'death_time': '2024-08-21 18:15:37'}
{'name': 'Sonnet', 'age': 38.504964, 'life_stage': 'Elder', 'death_time': '2024-08-22 11:07:30'}
{'name': 'Teststs', 'age': 38.211006, 'life_stage': 'Elder', 'death_time': '2024-08-22 11:10:08'}
{'name': 'so many tests', 'age': 39.219605, 'life_stage': 'Elder', 'death_time': '2024-08-22 11:30:47'}
{'name': 'fred', 'age': 39.110582, 'life_stage': 'Elder', 'death_time': '2024-08-22 11:31:34'}
